,Service Name,Transport Protocol,Description
4791,roce,"tcp, udp",IP Routable RocE
4792,unified-bus,"tcp, udp",IP Routable Unified Bus
4800,iims,"tcp, udp",Icona Instant Messenging System
4801,iwec,"tcp, udp",Icona Web Embedded Chat
4802,ilss,"tcp, udp",Icona License System Server
4803,"notateit-disc, notateit","tcp, udp","Notateit Messaging Discovery, Notateit Messaging"
4804,aja-ntv4-disc,"tcp, udp",AJA ntv4 Video System Discovery
4827,htcp,"tcp, udp",HTCP
4837,varadero-0,"tcp, udp",Varadero-0
4838,varadero-1,"tcp, udp",Varadero-1
4839,varadero-2,"tcp, udp",Varadero-2
4840,"opcua-tcp, opcua-udp","tcp, udp","OPC UA Multicast Datagram Protocol, OPC UA Connection Protocol"
4841,quosa,"tcp, udp",QUOSA Virtual Library Service
4842,gw-asv,"tcp, udp",nCode ICE-flow Library AppServer
4843,opcua-tls,"tcp, udp",OPC UA TCP Protocol over TLS/SSL
4844,gw-log,"tcp, udp",nCode ICE-flow Library LogServer
4845,wcr-remlib,"tcp, udp",WordCruncher Remote Library Service
4846,"contamac-icm, contamac_icm","tcp, udp","Contamac ICM Service, Contamac ICM Service
IANA assigned this well-formed service name as a replacement for ""contamac_icm""."
4847,wfc,"tcp, udp",Web Fresh Communication
4848,appserv-http,"tcp, udp",App Server - Admin HTTP
4849,appserv-https,"tcp, udp",App Server - Admin HTTPS
4850,sun-as-nodeagt,"tcp, udp",Sun App Server - NA
4851,derby-repli,"tcp, udp",Apache Derby Replication
4867,unify-debug,"tcp, udp",Unify Debugger
4868,phrelay,"tcp, udp",Photon Relay
4869,phrelaydbg,"tcp, udp",Photon Relay Debug
4870,cc-tracking,"tcp, udp",Citcom Tracking Service
4871,wired,"tcp, udp",Wired
4876,tritium-can,"tcp, udp",Tritium CAN Bus Bridge Service
4877,lmcs,"tcp, udp",Lighting Management Control System
4878,inst-discovery,"tcp, udp",Agilent Instrument Discovery
4879,wsdl-event,"tcp, udp",WSDL Event Receiver
4880,hislip,"tcp, udp",IVI High-Speed LAN Instrument Protocol
4881,socp-t,"tcp, udp",SOCP Time Synchronization Protocol
4882,socp-c,"tcp, udp",SOCP Control Protocol
4883,wmlserver,"tcp, udp",Meier-Phelps License Server
4884,hivestor,"tcp, udp",HiveStor Distributed File System
4885,abbs,"tcp, udp",ABBS
4888,xcap-portal,"tcp, udp",xcap code analysis portal public user access
4889,xcap-control,"tcp, udp",xcap code analysis portal cluster control and administration
4894,lyskom,"tcp, udp",LysKOM Protocol A
4899,radmin-port,"tcp, udp",RAdmin Port
4900,hfcs,"tcp, udp",HFSQL Client/Server Database Engine
4901,"flr-agent, flr_agent","tcp, udp","FileLocator Remote Search Agent, FileLocator Remote Search Agent
IANA assigned this well-formed service name as a replacement for ""flr_agent""."
4902,magiccontrol,"tcp, udp",magicCONROL RF and Data Interface
4912,lutap,"tcp, udp",Technicolor LUT Access Protocol
4913,lutcp,tcp,LUTher Control Protocol
4914,bones,"tcp, udp",Bones Remote Control
4915,frcs,"tcp, udp",Fibics Remote Control Service
4936,an-signaling,"tcp, udp",Signal protocol port for autonomic networking
4937,atsc-mh-ssc,"tcp, udp",ATSC-M/H Service Signaling Channel
4940,eq-office-4940,"tcp, udp",Equitrac Office
4941,eq-office-4941,"tcp, udp",Equitrac Office
4942,eq-office-4942,"tcp, udp",Equitrac Office
4949,munin,"tcp, udp",Munin Graphing Framework
4950,sybasesrvmon,"tcp, udp",Sybase Server Monitor
4951,pwgwims,"tcp, udp",PWG WIMS
4952,sagxtsds,"tcp, udp",SAG Directory Server
4953,dbsyncarbiter,"tcp, udp",Synchronization Arbiter
4954,nan,,Unassigned
4955,nan,,Unassigned
4956,nan,,Unassigned
4957,nan,,Unassigned
4958,nan,,Unassigned
4959,nan,,Unassigned
4960,nan,,Unassigned
4961,nan,,Unassigned
4962,nan,,Unassigned
4963,nan,,Unassigned
4964,nan,,Unassigned
4965,nan,,Unassigned
4966,nan,,Unassigned
4967,nan,,Unassigned
4968,nan,,Unassigned
4969,ccss-qmm,"tcp, udp",CCSS QMessageMonitor
4970,ccss-qsm,"tcp, udp",CCSS QSystemMonitor
4971,burp,"tcp, udp",BackUp and Restore Program
4980,ctxs-vpp,"tcp, udp",Citrix Virtual Path
4984,webyast,"tcp, udp",WebYast
4985,gerhcs,"tcp, udp",GER HC Standard
4986,mrip,"tcp, udp",Model Railway Interface Program
4987,smar-se-port1,"tcp, udp",SMAR Ethernet Port 1
4988,smar-se-port2,"tcp, udp",SMAR Ethernet Port 2
4989,parallel,"tcp, udp",Parallel for GAUSS (tm)
4990,busycal,"tcp, udp",BusySync Calendar Synch. Protocol
4991,vrt,"tcp, udp",VITA Radio Transport
4999,hfcs-manager,"tcp, udp",HFSQL Client/Server Database Engine Manager
5000,commplex-main,"tcp, udp",nan
5001,commplex-link,"tcp, udp",nan
5002,rfe,"tcp, udp",radio free ethernet
5003,fmpro-internal,"tcp, udp","FileMaker, Inc. - Proprietary transport, Inc. - Proprietary name binding"
5004,avt-profile-1,"tcp, dccp, udp",RTP media data
5005,avt-profile-2,"tcp, dccp, udp",RTP control protocol
5006,wsm-server,"tcp, udp",wsm server
5007,wsm-server-ssl,"tcp, udp",wsm server ssl
5008,synapsis-edge,"tcp, udp",Synapsis EDGE
5009,winfs,"tcp, udp",Microsoft Windows Filesystem
5010,telelpathstart,"tcp, udp",TelepathStart
5011,telelpathattack,"tcp, udp",TelepathAttack
5012,nsp,"tcp, udp",NetOnTap Service
5013,fmpro-v6,"tcp, udp","FileMaker, Inc. - Proprietary transport"
5014,onpsocket,"tcp, udp",Overlay Network Protocol
5015,fmwp,"tcp, udp","FileMaker, Inc. - Web publishing"
5020,zenginkyo-1,"tcp, udp",zenginkyo-1
5021,zenginkyo-2,"tcp, udp",zenginkyo-2
5022,mice,"tcp, udp",mice server
5023,htuilsrv,"tcp, udp",Htuil Server for PLD2
5024,scpi-telnet,"tcp, udp",SCPI-TELNET
5025,scpi-raw,"tcp, udp",SCPI-RAW
5026,strexec-d,"tcp, udp",Storix I/O daemon (data)
5027,strexec-s,"tcp, udp",Storix I/O daemon (stat)
5028,qvr,"tcp, udp",Quiqum Virtual Relais
5029,infobright,"tcp, udp",Infobright Database Server
5031,dmp,"tcp, udp",Direct Message Protocol
5032,signacert-agent,"tcp, udp",SignaCert Enterprise Trust Server Agent
5033,jtnetd-server,"tcp, udp",Janstor Secure Data
5034,jtnetd-status,"tcp, udp",Janstor Status
5042,asnaacceler8db,"tcp, udp",asnaacceler8db
5043,swxadmin,"tcp, udp",ShopWorX Administration
5044,lxi-evntsvc,"tcp, udp",LXI Event Service
5045,osp,"tcp, udp",Open Settlement Protocol
5046,vpm-udp,"tcp, udp",Vishay PM UDP Service
5047,iscape,"tcp, udp",iSCAPE Data Broadcasting
5048,texai,"tcp, udp",Texai Message Service
5049,ivocalize,"tcp, udp",iVocalize Web Conference
5050,mmcc,"tcp, udp",multimedia conference control tool
5051,ita-agent,"tcp, udp",ITA Agent
5052,ita-manager,"tcp, udp",ITA Manager
5053,"rlm, rlm-disc","tcp, udp","RLM Discovery Server, RLM License Server"
5054,rlm-admin,"tcp, udp",RLM administrative interface
5055,unot,"tcp, udp",UNOT
5056,intecom-ps1,"tcp, udp",Intecom Pointspan 1
5057,intecom-ps2,"tcp, udp",Intecom Pointspan 2
5058,locus-disc,"tcp, udp",Locus Discovery
5059,sds,"tcp, udp",SIP Directory Services
5060,sip,"sctp, tcp, udp",SIP
5061,sips,"sctp, tcp, udp",SIP-TLS
5062,na-localise,"tcp, udp",Localisation access
5063,csrpc,"tcp, udp",centrify secure RPC
5064,ca-1,"tcp, udp",Channel Access 1
5065,ca-2,"tcp, udp",Channel Access 2
5066,stanag-5066,"tcp, udp",STANAG-5066-SUBNET-INTF
5067,authentx,"tcp, udp",Authentx Service
5068,bitforestsrv,"tcp, udp",Bitforest Data Service
5069,i-net-2000-npr,"tcp, udp",I/Net 2000-NPR
5070,vtsas,"tcp, udp",VersaTrans Server Agent Service
5071,powerschool,"tcp, udp",PowerSchool
5072,ayiya,"tcp, udp",Anything In Anything
5073,tag-pm,"tcp, udp",Advantage Group Port Mgr
5074,alesquery,"tcp, udp",ALES Query
5075,pvaccess,"tcp, udp",Experimental Physics and Industrial Control System
5078,pixelpusher,"tcp, udp",PixelPusher pixel data
5079,cp-spxrpts,"tcp, udp",Cambridge Pixel SPx Reports
5080,onscreen,"tcp, udp",OnScreen Data Collection Service
5081,sdl-ets,"tcp, udp",SDL - Ent Trans Server
5082,qcp,"tcp, udp",Qpur Communication Protocol
5083,qfp,"tcp, udp",Qpur File Protocol
5084,llrp,"tcp, udp",EPCglobal Low-Level Reader Protocol
5085,encrypted-llrp,"tcp, udp",EPCglobal Encrypted LLRP
5086,aprigo-cs,"tcp, udp",Aprigo Collection Service
5087,biotic,"tcp, udp",BIOTIC - Binary Internet of Things Interoperable Communication
5090,car,sctp,Candidate AR
5091,cxtp,sctp,Context Transfer Protocol
5092,magpie,"tcp, udp",Magpie Binary
5093,sentinel-lm,"tcp, udp",Sentinel LM
5094,hart-ip,"tcp, udp",HART-IP
5099,sentlm-srv2srv,"tcp, udp",SentLM Srv2Srv
5100,socalia,"tcp, udp",Socalia service mux
5101,"talarian-udp, talarian-tcp","tcp, udp","Talarian_TCP, Talarian_UDP"
5102,oms-nonsecure,"tcp, udp",Oracle OMS non-secure
5103,actifio-c2c,"tcp, udp",Actifio C2C
5104,tinymessage,"tcp, udp",TinyMessage
5105,hughes-ap,"tcp, udp",Hughes Association Protocol
5106,actifioudsagent,"tcp, udp",Actifio UDS Agent
5107,actifioreplic,"tcp, udp",Disk to Disk replication between Actifio Clusters
5111,taep-as-svc,"tcp, udp",TAEP AS service
5112,pm-cmdsvr,"tcp, udp",PeerMe Msg Cmd Service
5114,ev-services,"tcp, udp",Enterprise Vault Services
5115,autobuild,"tcp, udp",Symantec Autobuild Service
5116,emb-proj-cmd,"tcp, udp",EPSON Projecter Image Transfer
5117,gradecam,"tcp, udp",GradeCam Image Processing
5120,barracuda-bbs,"tcp, udp",Barracuda Backup Protocol
5133,nbt-pc,"tcp, udp",Policy Commander
5134,ppactivation,"tcp, udp",PP ActivationServer
5135,erp-scale,"tcp, udp",ERP-Scale
5136,minotaur-sa,"tcp, udp",Minotaur SA
5137,ctsd,"tcp, udp",MyCTS server port
5145,"rmonitor_secure, rmonitor-secure","tcp, udp","RMONITOR SECURE, RMONITOR SECURE
IANA assigned this well-formed service name as a replacement for ""rmonitor_secure""."
5146,social-alarm,"tcp, udp",Social Alarm Service
5150,atmp,"tcp, udp",Ascend Tunnel Management Protocol
5151,"esri_sde, esri-sde","tcp, udp","ESRI SDE Instance, ESRI SDE Instance
    IANA assigned this well-formed service name as a replacement for ""esri_sde""., ESRI SDE Remote Start
    IANA assigned this well-formed service name as a replacement for ""esri_sde""., ESRI SDE Remote Start"
5152,sde-discovery,"tcp, udp",ESRI SDE Instance Discovery
5154,bzflag,"tcp, udp",BZFlag game server
5155,asctrl-agent,"tcp, udp",Oracle asControl Agent
5156,rugameonline,"tcp, udp",Russian Online Game
5157,mediat,"tcp, udp",Mediat Remote Object Exchange
5161,snmpssh,"tcp, udp",SNMP over SSH Transport Model
5162,snmpssh-trap,"tcp, udp",SNMP Notification over SSH Transport Model
5163,sbackup,"tcp, udp",Shadow Backup
5164,"vpa, vpa-disc","tcp, udp","Virtual Protocol Adapter, Virtual Protocol Adapter Discovery"
5165,"ife_icorp, ife-icorp","tcp, udp","ife_1corp
IANA assigned this well-formed service name as a replacement for ""ife_icorp""., ife_1corp"
5166,winpcs,"tcp, udp",WinPCS Service Connection
5167,scte104,"tcp, udp",SCTE104 Connection
5168,scte30,"tcp, udp",SCTE30 Connection
5172,pcoip-mgmt,"tcp, udp",PC over IP Endpoint Management
5190,aol,"tcp, udp",America-Online
5191,aol-1,"tcp, udp",AmericaOnline1
5192,aol-2,"tcp, udp",AmericaOnline2
5193,aol-3,"tcp, udp",AmericaOnline3
5194,cpscomm,"tcp, udp",CipherPoint Config Service
5195,ampl-lic,"tcp, udp",The protocol is used by a license server and client programs to control use of program licenses that float to networked machines
5196,ampl-tableproxy,"tcp, udp","The protocol is used by two programs that exchange ""table"" data used in the AMPL modeling language"
5197,tunstall-lwp,"tcp, udp",Tunstall Lone worker device interface
5200,targus-getdata,"tcp, udp",TARGUS GetData
5201,targus-getdata1,"tcp, udp",TARGUS GetData 1
5202,targus-getdata2,"tcp, udp",TARGUS GetData 2
5203,targus-getdata3,"tcp, udp",TARGUS GetData 3
5209,nomad,"tcp, udp",Nomad Device Video Transfer
5215,noteza,"sctp, tcp, udp",NOTEZA Data Safety Service
5221,3exmp,"tcp, udp",3eTI Extensible Management Protocol for OAMP
5222,xmpp-client,"tcp, udp",XMPP Client Connection
5223,hpvirtgrp,"tcp, udp",HP Virtual Machine Group Management
5224,hpvirtctrl,"tcp, udp",HP Virtual Machine Console Operations
5225,hp-server,"tcp, udp",HP Server
5226,hp-status,"tcp, udp",HP Status
5227,perfd,"tcp, udp",HP System Performance Metric Service
5228,hpvroom,"tcp, udp",HP Virtual Room Service
5229,jaxflow,"tcp, udp",Netflow/IPFIX/sFlow Collector and Forwarder Management
5230,jaxflow-data,"tcp, udp",JaxMP RealFlow application and protocol data
5231,crusecontrol,"tcp, udp",Remote Control of Scan Software for Cruse Scanners
5232,csedaemon,"tcp, udp",Cruse Scanning System Service
5233,enfs,"tcp, udp",Etinnae Network File Service
5234,eenet,"tcp, udp",EEnet communications
5235,galaxy-network,"tcp, udp",Galaxy Network Service
5236,padl2sim,"tcp, udp",nan
5237,mnet-discovery,"tcp, udp",m-net discovery
5242,attune,"tcp, udp",ATTUne API
5243,xycstatus,"tcp, udp",xyClient Status API and rendevous point
5245,"downtools, downtools-disc","tcp, udp","DownTools Control Protocol, DownTools Discovery Protocol"
5246,capwap-control,"tcp, udp",CAPWAP Control Protocol
5247,capwap-data,"tcp, udp",CAPWAP Data Protocol
5248,caacws,"tcp, udp",CA Access Control Web Service
5249,caaclang2,"tcp, udp",CA AC Lang Service
5250,soagateway,"tcp, udp",soaGateway
5251,caevms,"tcp, udp",CA eTrust VM Service
5252,movaz-ssc,"tcp, udp",Movaz SSC
5253,kpdp,"tcp, udp",Kohler Power Device Protocol
5254,logcabin,"tcp, udp",LogCabin storage service
5264,3com-njack-1,"tcp, udp",3Com Network Jack Port 1
5265,3com-njack-2,"tcp, udp",3Com Network Jack Port 2
5269,xmpp-server,"tcp, udp",XMPP Server Connection
5270,cartographerxmp,"tcp, udp",Cartographer XMP
5271,"cuelink-disc, cuelink","tcp, udp","StageSoft CueLink messaging, StageSoft CueLink discovery"
5272,pk,"tcp, udp",PK
5280,xmpp-bosh,"tcp, udp",Bidirectional-streams Over Synchronous HTTP (BOSH)
5281,undo-lm,"tcp, udp",Undo License Manager
5282,transmit-port,"tcp, udp",Marimba Transmitter Port
5298,presence,"tcp, udp",XMPP Link-Local Messaging
5299,nlg-data,"tcp, udp",NLG Data Service
5300,hacl-hb,"tcp, udp",HA cluster heartbeat
5301,hacl-gs,"tcp, udp",HA cluster general services
5302,hacl-cfg,"tcp, udp",HA cluster configuration
5303,hacl-probe,"tcp, udp",HA cluster probing
5304,hacl-local,"tcp, udp",HA Cluster Commands
5305,hacl-test,"tcp, udp",HA Cluster Test
5306,sun-mc-grp,"tcp, udp",Sun MC Group
5307,sco-aip,"tcp, udp",SCO AIP
5308,cfengine,"tcp, udp",CFengine
5309,jprinter,"tcp, udp",J Printer
5310,outlaws,"tcp, udp",Outlaws
5312,permabit-cs,"tcp, udp",Permabit Client-Server
5313,rrdp,"tcp, udp",Real-time & Reliable Data
5314,opalis-rbt-ipc,"tcp, udp",opalis-rbt-ipc
5315,hacl-poll,"tcp, udp",HA Cluster UDP Polling
5316,hpbladems,"tcp, udp",HPBladeSystem Monitor Service
5317,hpdevms,"tcp, udp",HP Device Monitor Service
5318,pkix-cmc,"tcp, udp",PKIX Certificate Management using CMS (CMC)
5320,bsfserver-zn,"tcp, udp",Webservices-based Zn interface of BSF
5321,bsfsvr-zn-ssl,"tcp, udp",Webservices-based Zn interface of BSF over SSL
5343,kfserver,"tcp, udp",Sculptor Database Server
5344,xkotodrcp,"tcp, udp",xkoto DRCP
5349,"stun-behaviors, turns, stuns","tcp, udp","TURN over DTLS, STUN Behavior Discovery over TLS, TURN over TLS, STUN over DTLS, Reserved for a future enhancement of STUN-BEHAVIOR, Session Traversal Utilities for NAT (STUN) port"
5350,pcp-multicast,"tcp, udp",Port Control Protocol Multicast
5351,pcp,"tcp, udp",Port Control Protocol
5352,dns-llq,"tcp, udp",DNS Long-Lived Queries
5353,mdns,"tcp, udp",Multicast DNS
5354,mdnsresponder,"tcp, udp",Multicast DNS Responder IPC
5355,llmnr,"tcp, udp",LLMNR
5356,ms-smlbiz,"tcp, udp",Microsoft Small Business
5357,wsdapi,"tcp, udp",Web Services for Devices
5358,wsdapi-s,"tcp, udp",WS for Devices Secured
5359,ms-alerter,"tcp, udp",Microsoft Alerter
5360,ms-sideshow,"tcp, udp",Protocol for Windows SideShow
5361,ms-s-sideshow,"tcp, udp",Secure Protocol for Windows SideShow
5362,serverwsd2,"tcp, udp",Microsoft Windows Server WSD2 Service
5363,net-projection,"tcp, udp",Windows Network Projection
5364,kdnet,"tcp, udp",Microsoft Kernel Debugger
5397,stresstester,"tcp, udp",StressTester(tm) Injector
5398,elektron-admin,"tcp, udp",Elektron Administration
5399,securitychase,"tcp, udp",SecurityChase
5400,excerpt,"tcp, udp",Excerpt Search
5401,excerpts,"tcp, udp",Excerpt Search Secure
5402,mftp,"tcp, udp",OmniCast MFTP
5403,hpoms-ci-lstn,"tcp, udp",HPOMS-CI-LSTN
5404,hpoms-dps-lstn,"tcp, udp",HPOMS-DPS-LSTN
5405,netsupport,"tcp, udp",NetSupport
5406,systemics-sox,"tcp, udp",Systemics Sox
5407,foresyte-clear,"tcp, udp",Foresyte-Clear
5408,foresyte-sec,"tcp, udp",Foresyte-Sec
5409,salient-dtasrv,"tcp, udp",Salient Data Server
5410,salient-usrmgr,"tcp, udp",Salient User Manager
5411,actnet,"tcp, udp",ActNet
5412,continuus,"tcp, udp",Continuus
5413,wwiotalk,"tcp, udp",WWIOTALK
5414,statusd,"tcp, udp",StatusD
5415,ns-server,"tcp, udp",NS Server
5416,sns-gateway,"tcp, udp",SNS Gateway
5417,sns-agent,"tcp, udp",SNS Agent
5418,mcntp,"tcp, udp",MCNTP
5419,dj-ice,"tcp, udp",DJ-ICE
5420,cylink-c,"tcp, udp",Cylink-C
5421,netsupport2,"tcp, udp",Net Support 2
5422,salient-mux,"tcp, udp",Salient MUX
5423,virtualuser,"tcp, udp",VIRTUALUSER
5424,beyond-remote,"tcp, udp",Beyond Remote
5425,br-channel,"tcp, udp",Beyond Remote Command Channel
5426,devbasic,"tcp, udp",DEVBASIC
5427,sco-peer-tta,"tcp, udp",SCO-PEER-TTA
5428,telaconsole,"tcp, udp",TELACONSOLE
5429,base,"tcp, udp",Billing and Accounting System Exchange
5430,radec-corp,"tcp, udp",RADEC CORP
5431,park-agent,"tcp, udp",PARK AGENT
5432,postgresql,"tcp, udp",PostgreSQL Database
5433,pyrrho,"tcp, udp",Pyrrho DBMS
5434,sgi-arrayd,"tcp, udp",SGI Array Services Daemon
5435,sceanics,"tcp, udp",SCEANICS situation and action notification
5436,pmip6-cntl,"tcp, udp",pmip6-cntl
5437,pmip6-data,"tcp, udp",pmip6-data
5443,spss,"tcp, udp",Pearson HTTPS
5445,smbdirect,"sctp, tcp, udp",Server Message Block over Remote Direct Memory Access
5450,"tiepie-disc, tiepie","tcp, udp","TiePie engineering data acquisition, TiePie engineering data acquisition (discovery)"
5453,surebox,"tcp, udp",SureBox
5454,apc-5454,"tcp, udp",APC 5454
5455,apc-5455,"tcp, udp",APC 5455
5456,apc-5456,"tcp, udp",APC 5456
5461,silkmeter,"tcp, udp",SILKMETER
5462,ttl-publisher,"tcp, udp",TTL Publisher
5463,ttlpriceproxy,"tcp, udp",TTL Price Proxy
5464,quailnet,"tcp, udp",Quail Networks Object Broker
5465,netops-broker,"tcp, udp",NETOPS-BROKER
5470,apsolab-col,"tcp, udp",The Apsolab company's data collection protocol (native api)
5471,apsolab-cols,"tcp, udp",The Apsolab company's secure data collection protocol (native api)
5472,apsolab-tag,"tcp, udp",The Apsolab company's dynamic tag protocol
5473,apsolab-tags,"tcp, udp",The Apsolab company's secure dynamic tag protocol
5474,apsolab-rpc,"tcp, udp",The Apsolab company's status query protocol
5475,apsolab-data,"tcp, udp",The Apsolab company's data retrieval protocol
5500,fcp-addr-srvr1,"tcp, udp",fcp-addr-srvr1
5501,fcp-addr-srvr2,"tcp, udp",fcp-addr-srvr2
5502,fcp-srvr-inst1,"tcp, udp",fcp-srvr-inst1
5503,fcp-srvr-inst2,"tcp, udp",fcp-srvr-inst2
5504,fcp-cics-gw1,"tcp, udp",fcp-cics-gw1
5505,checkoutdb,"tcp, udp",Checkout Database
5506,amc,"tcp, udp",Amcom Mobile Connect
5507,psl-management,"tcp, udp",PowerSysLab Electrical Management
5540,matter,"tcp, udp",Matter Operational Discovery and Communi
5543,qftest-licserve,"tcp, udp",QF-Test License Server
5550,cbus,"tcp, udp",Model Railway control using the CBUS message protocol
5553,sgi-eventmond,"tcp, udp",SGI Eventmond Port
5554,sgi-esphttp,"tcp, udp",SGI ESP HTTP
5555,personal-agent,"tcp, udp",Personal Agent
5556,freeciv,"tcp, udp",Freeciv gameplay
5557,farenet,"tcp, udp",Sandlab FARENET
5565,dp-bura,"tcp, udp",Data Protector BURA
5566,westec-connect,"tcp, udp",Westec Connect
5567,dof-dps-mc-sec,"tcp, udp",DOF Protocol Stack Multicast/Secure Transport
5568,sdt,"tcp, udp",Session Data Transport Multicast
5569,"rdmnet-ctrl, rdmnet-device","tcp, udp","PLASA E1.33, Remote Device Management (RDM) messages, Remote Device Management (RDM) controller status notifications"
5570,nan,,Unassigned
5571,nan,,Unassigned
5572,nan,,Unassigned
5573,sdmmp,"tcp, udp",SAS Domain Management Messaging Protocol
5574,lsi-bobcat,"tcp, udp",SAS IO Forwarding
5575,ora-oap,"tcp, udp",Oracle Access Protocol
5579,fdtracks,"tcp, udp",FleetDisplay Tracking Service
5580,tmosms0,"tcp, udp",T-Mobile SMS Protocol Message 0
5581,tmosms1,"tcp, udp",T-Mobile SMS Protocol Message 1
5582,fac-restore,"tcp, udp",T-Mobile SMS Protocol Message 3
5583,tmo-icon-sync,"tcp, udp",T-Mobile SMS Protocol Message 2
5584,bis-web,"tcp, udp",BeInSync-Web
5585,bis-sync,"tcp, udp",BeInSync-sync
5586,att-mt-sms,"tcp, udp",Planning to send mobile terminated SMS to the specific port so that the SMS is not visible to the client
5597,ininmessaging,"tcp, udp",inin secure messaging
5598,mctfeed,"tcp, udp",MCT Market Data Feed
5599,esinstall,"tcp, udp",Enterprise Security Remote Install
5600,esmmanager,"tcp, udp",Enterprise Security Manager
5601,esmagent,"tcp, udp",Enterprise Security Agent
5602,a1-msc,"tcp, udp",A1-MSC
5603,a1-bs,"tcp, udp",A1-BS
5604,a3-sdunode,"tcp, udp",A3-SDUNode
5605,a4-sdunode,"tcp, udp",A4-SDUNode
5618,efr,"tcp, udp",Fiscal Registering Protocol
5627,ninaf,"tcp, udp",Node Initiated Network Association Forma
5628,htrust,"tcp, udp",HTrust API
5629,symantec-sfdb,"tcp, udp",Symantec Storage Foundation for Database
5630,precise-comm,"tcp, udp",PreciseCommunication
5631,pcanywheredata,"tcp, udp",pcANYWHEREdata
5632,pcanywherestat,"tcp, udp",pcANYWHEREstat
5633,beorl,"tcp, udp",BE Operations Request Listener
5634,xprtld,"tcp, udp",SF Message Service
5635,sfmsso,"tcp, udp",SFM Authentication Subsystem
5636,sfm-db-server,"tcp, udp",SFMdb - SFM DB server
5637,cssc,"tcp, udp",Symantec CSSC
5638,flcrs,"tcp, udp",Symantec Fingerprint Lookup and Container Reference Service
5639,ics,"tcp, udp",Symantec Integrity Checking Service
5646,vfmobile,"tcp, udp",Ventureforth Mobile
5666,nrpe,"tcp, udp",Nagios Remote Plugin Executor
5670,"filemq, zre-disc","tcp, udp","Local area discovery and messaging over ZeroMQ, ZeroMQ file publish-subscribe protocol"
5671,amqps,"tcp, udp",amqp protocol over TLS/SSL
5672,amqp,"sctp, tcp, udp",AMQP
5673,jms,"tcp, udp",JACL Message Server
5674,hyperscsi-port,"tcp, udp",HyperSCSI Port
5675,v5ua,"sctp, tcp, udp",V5UA application port
5676,raadmin,"tcp, udp",RA Administration
5677,questdb2-lnchr,"tcp, udp",Quest Central DB2 Launchr
5678,rrac,"tcp, udp",Remote Replication Agent Connection
5679,dccm,"tcp, udp",Direct Cable Connect Manager
5680,auriga-router,"tcp, udp",Auriga Router Service
5681,ncxcp,"tcp, udp",Net-coneX Control Protocol
5682,brightcore,"tcp, udp",BrightCore control & data transfer exchange
5683,coap,"tcp, udp","Constrained Application Protocol (CoAP), Constrained Application Protocol"
5684,coaps,"tcp, udp","Constrained Application Protocol (CoAP), DTLS-secured CoAP"
5687,gog-multiplayer,"tcp, udp",GOG multiplayer game protocol
5688,ggz,"tcp, udp",GGZ Gaming Zone
5689,qmvideo,"tcp, udp",QM video network management protocol
5693,rbsystem,"tcp, udp",Robert Bosch Data Transfer
5696,kmip,"tcp, udp",Key Management Interoperability Protocol
5700,supportassist,"tcp, udp",Dell SupportAssist data center management
5705,storageos,"tcp, udp",StorageOS REST API
5713,proshareaudio,"tcp, udp",proshare conf audio
5714,prosharevideo,"tcp, udp",proshare conf video
5715,prosharedata,"tcp, udp",proshare conf data
5716,prosharerequest,"tcp, udp",proshare conf request
5717,prosharenotify,"tcp, udp",proshare conf notify
5718,dpm,"tcp, udp",DPM Communication Server
5719,dpm-agent,"tcp, udp",DPM Agent Coordinator
5720,ms-licensing,"tcp, udp",MS-Licensing
5721,dtpt,"tcp, udp",Desktop Passthru Service
5722,msdfsr,"tcp, udp",Microsoft DFS Replication Service
5723,omhs,"tcp, udp",Operations Manager - Health Service
5724,omsdk,"tcp, udp",Operations Manager - SDK Service
5725,ms-ilm,"tcp, udp",Microsoft Identity Lifecycle Manager
5726,ms-ilm-sts,"tcp, udp",Microsoft Lifecycle Manager Secure Token Service
5727,asgenf,"tcp, udp",ASG Event Notification Framework
5728,"io-dist-group, io-dist-data","tcp, udp","Dist. I/O Comm. Service Group Membership, Dist. I/O Comm. Service Data and Control"
5729,openmail,"tcp, udp",Openmail User Agent Layer
5730,unieng,"tcp, udp",Steltor's calendar access
5741,ida-discover1,"tcp, udp",IDA Discover Port 1
5742,ida-discover2,"tcp, udp",IDA Discover Port 2
5743,watchdoc-pod,"tcp, udp",Watchdoc NetPOD Protocol
5744,watchdoc,"tcp, udp",Watchdoc Server
5745,fcopy-server,"tcp, udp",fcopy-server
5746,fcopys-server,"tcp, udp",fcopys-server
5747,tunatic,"tcp, udp",Wildbits Tunatic
5748,tunalyzer,"tcp, udp",Wildbits Tunalyzer
5750,rscd,"tcp, udp",Bladelogic Agent Service
5755,openmailg,"tcp, udp",OpenMail Desk Gateway server
5757,x500ms,"tcp, udp",OpenMail X.500 Directory Server
5766,openmailns,"tcp, udp",OpenMail NewMail Server
5767,s-openmail,"tcp, udp",OpenMail Suer Agent Layer (Secure)
5768,openmailpxy,"tcp, udp",OpenMail CMTS Server
5769,spramsca,"tcp, udp",x509solutions Internal CA
5770,spramsd,"tcp, udp",x509solutions Secure Data
5771,netagent,"tcp, udp",NetAgent
5777,starfield-io,"tcp, udp",Control commands and responses
5780,vts-rpc,"tcp, udp",Visual Tag System RPC
5781,3par-evts,"tcp, udp",3PAR Event Reporting Service
